0,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
1,BMW,4200,sedan,277,2,Petrol,yes,1991,320
2,Mercedes-Benz,7900,van,427,2.9,Diesel,yes,1999,Sprinter 212
3,Mercedes-Benz,13300,sedan,358,5,Gas,yes,2003,S 500
4,Audi,23000,crossover,240,4.2,Petrol,yes,2007,Q7
5,Toyota,18300,crossover,120,2,Petrol,yes,2011,Rav 4
6,Mercedes-Benz,199999,crossover,0,5.5,Petrol,yes,2016,GLS 63
7,BMW,6100,sedan,438,2,Gas,yes,1997,320
8,Audi,14200,vagon,200,2.7,Diesel,yes,2006,A6
9,Renault,10799,vagon,193,1.5,Diesel,yes,2012,Megane
10,Volkswagen,1400,other,212,1.8,Gas,no,1999,Golf IV
11,Renault,11950,vagon,177,1.5,Diesel,yes,2011,Megane
12,Renault,2500,sedan,260,1.79,Petrol,yes,1994,19
13,Audi,9500,vagon,165,2.7,Gas,yes,2003,A6 Allroad
14,Volkswagen,10500,sedan,100,1.8,Petrol,yes,2008,Passat B6
15,Toyota,16000,crossover,250,4.7,Gas,yes,2001,Land Cruiser 100
16,Renault,8600,hatch,84,1.5,Diesel,yes,2012,Clio
17,BMW,2990,other,203,2,Petrol,no,2001,318
18,Mercedes-Benz,NA,van,240,2.2,Diesel,yes,2007,Vito
19,Toyota,26500,crossover,21,2,Petrol,yes,2013,Rav 4
20,Audi,3500,vagon,250,2.5,Diesel,no,1998,A6
21,Toyota,38233,other,0,2.4,Diesel,yes,2016,Hilux
22,Volkswagen,7500,hatch,132,1.4,Diesel,yes,2006,Polo
23,Audi,6800,sedan,225,2.4,Gas,yes,1998,A6
24,Mitsubishi,10500,crossover,130,2.4,Gas,yes,2006,Outlander
25,Audi,24900,sedan,163,4.2,Diesel,yes,2008,A8
26,Volkswagen,20800,crossover,151,3,Diesel,yes,2008,Touareg
27,Audi,6500,sedan,330,2.4,Petrol,yes,1999,A6
28,Mercedes-Benz,13566,other,171,2.2,Other,no,2011,Vito
29,Mitsubishi,8500,hatch,65,1.3,Petrol,yes,2010,Colt
30,Mercedes-Benz,NA,crossover,0,4.6,Petrol,yes,2016,GLS 500
31,Audi,2900,sedan,1,2.3,Gas,yes,1989,100
32,BMW,21500,other,72,3,Petrol,yes,2007,Z4
33,Mitsubishi,17900,crossover,87,3.8,Gas,yes,2008,Pajero Wagon
34,BMW,28500,crossover,160,4.8,Gas,yes,2008,X5
35,Volkswagen,9800,van,160,1.9,Diesel,yes,2009,Caddy
36,Toyota,14500,sedan,147,2.4,Gas,yes,2006,Camry
37,BMW,6000,sedan,300,2.8,Petrol,yes,1996,528
38,BMW,67500,crossover,1,2.5,Diesel,yes,2016,X5
39,Audi,33900,other,14,1.8,Petrol,yes,2014,TT
40,Audi,2500,sedan,180,NA,Petrol,no,2000,A4
41,Mercedes-Benz,9800,van,230,2.15,Diesel,yes,2004,Vito
42,Mercedes-Benz,63000,crossover,86,5.5,Petrol,yes,2009,G 55 AMG
43,BMW,7700,sedan,326,2.8,Petrol,yes,1998,528
44,Mercedes-Benz,9600,van,30,2.2,Diesel,yes,2006,Vito
45,Toyota,12800,sedan,181,2.4,Petrol,yes,2008,Camry
46,BMW,41000,crossover,80,3,Petrol,yes,2012,X6
47,Mitsubishi,2500,sedan,220,2.4,Petrol,yes,1987,Galant
48,BMW,3700,sedan,231,2.5,Petrol,yes,1990,525
49,Mercedes-Benz,29500,sedan,134,5,Petrol,yes,2008,S 500
50,BMW,6500,sedan,335,2.8,Petrol,yes,1996,528
51,Mercedes-Benz,NA,sedan,145,3.2,Diesel,yes,2007,E-Class
52,Renault,8250,van,66,1.5,Diesel,yes,2014,Kangoo
53,Mercedes-Benz,19500,crossover,172,3.5,Other,yes,2008,ML 350
54,Mercedes-Benz,13500,sedan,317,5,Petrol,yes,2001,S 500
55,Mercedes-Benz,9200,van,266,2.2,Diesel,yes,2008,Vito
56,Mercedes-Benz,NA,crossover,0,3,Diesel,yes,2016,GLS 350
57,Toyota,10900,sedan,156,NA,Gas,yes,2005,Camry
58,Volkswagen,5000,vagon,265,2,Diesel,no,2006,Passat B6
59,BMW,23900,crossover,162,4.8,Petrol,yes,2007,X5
60,BMW,36900,sedan,81,3,Diesel,yes,2010,730
61,BMW,8900,other,253,1.8,Petrol,yes,1995,318
62,Renault,7800,van,200,1.9,Diesel,yes,2002,Trafic
63,BMW,133000,crossover,7,4.4,Petrol,yes,2015,X5 M
64,BMW,1650,sedan,270,1.8,Petrol,no,1995,318
65,Mercedes-Benz,50000,sedan,240,3.5,Petrol,yes,2006,S 350
66,Renault,9700,van,245,2,Diesel,yes,2008,Trafic
67,Mercedes-Benz,9999,van,127,2.2,Diesel,yes,2005,Vito
68,Audi,69999,crossover,21,3,Petrol,yes,2015,A6 Allroad
69,Mitsubishi,6500,sedan,152,1.6,Petrol,yes,2007,Lancer
70,Audi,4300,sedan,267,1.9,Diesel,no,2003,A6
71,Audi,3000,sedan,267,2.5,Diesel,no,1999,A6
72,Mercedes-Benz,8700,sedan,240,2.2,Diesel,yes,2000,E-Class
73,Renault,9000,vagon,178,2,Petrol,yes,2008,Scenic
74,Mercedes-Benz,20400,sedan,190,1.8,Gas,yes,2011,E-Class
75,BMW,9000,sedan,175,3,Petrol,no,2006,330
76,Mercedes-Benz,13400,sedan,105,1.8,Petrol,yes,2006,E-Class
77,Volkswagen,3700,sedan,195,1.9,Diesel,no,2001,Passat B5
78,Volkswagen,9850,van,126,2,Diesel,yes,2012,Caddy
79,Audi,3700,hatch,420,2,Diesel,no,2004,A3
80,Toyota,15700,crossover,195,4,Gas,yes,2003,Land Cruiser Prado
81,Mercedes-Benz,24500,sedan,180,2.2,Diesel,yes,2012,E-Class
82,Mitsubishi,7500,sedan,195,1.6,Gas,yes,2007,Lancer
83,Volkswagen,11990,van,231,2.5,Diesel,yes,2002,Caravelle
84,Volkswagen,13708.5,hatch,51,1.4,Petrol,yes,2014,Polo
85,BMW,8200,sedan,287,2.5,Gas,yes,1999,525
86,Renault,6999,van,222,1.5,Diesel,yes,2009,Kangoo
87,Renault,6750,vagon,214,1.5,Diesel,yes,2004,Megane
88,Audi,18500,sedan,245,3,Diesel,yes,2006,A8
89,Toyota,14299,sedan,83,2,Petrol,yes,2009,Avensis
90,Mercedes-Benz,28500,crossover,210,3.2,Diesel,yes,2007,GL 320
91,Mitsubishi,17000,crossover,89,3.8,Petrol,yes,2008,Pajero Wagon
92,Mercedes-Benz,NA,crossover,0,3,Diesel,yes,2016,GL 350
93,Mercedes-Benz,25700,crossover,130,4.7,Gas,yes,2008,GL 450
94,Audi,2650,vagon,333,2.5,Diesel,no,2000,A6
95,Mitsubishi,8500,sedan,116,1.5,Petrol,yes,2008,Lancer X
96,Mercedes-Benz,4000,sedan,405,2,Diesel,yes,1992,200
97,Renault,11000,other,131,1.5,Diesel,yes,2011,Kangoo
98,Mercedes-Benz,14500,sedan,138,2,Petrol,yes,2007,E-Class
99,BMW,4099,sedan,50,2.5,Petrol,yes,1988,520
100,Volkswagen,31500,crossover,1,2,Petrol,yes,2014,Tiguan
101,Renault,4500,van,207,1.5,Diesel,yes,2003,Kangoo
102,Volkswagen,6700,other,207,1.9,Diesel,yes,2004,Caddy
103,Renault,NA,van,85,1.5,Diesel,yes,2012,Kangoo
